event_id,instance_id,detected_at,if_score,lstm_error,ensemble_score,severity,alert_sent,notes
36,my-windows-pc,2026-05-09 18:41:31.611488+05:30,0.5175,0.7706,0.6694,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:11:31.453701+00:00
37,my-windows-pc,2026-05-09 18:42:02.631341+05:30,0.5136,0.7843,0.676,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:12:02.455827+00:00
38,my-windows-pc,2026-05-09 18:42:33.677771+05:30,0.503,0.8027,0.6828,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:12:33.534198+00:00
39,my-windows-pc,2026-05-09 18:43:04.601194+05:30,0.482,0.807,0.677,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:13:04.422096+00:00
40,my-windows-pc,2026-05-09 18:43:35.38861+05:30,0.4964,0.8206,0.6909,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:13:35.268482+00:00
41,my-windows-pc,2026-05-09 18:45:08.419657+05:30,0.6216,0.8557,0.7621,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:15:08.245048+00:00
42,my-windows-pc,2026-05-09 18:45:39.444151+05:30,0.5369,0.7817,0.6838,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:15:39.260347+00:00
43,my-windows-pc,2026-05-09 18:46:10.441919+05:30,0.5614,0.7325,0.6641,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:16:10.260087+00:00
44,my-windows-pc,2026-05-09 19:18:25.694488+05:30,0.8249,0.5606,0.6663,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:48:25.491232+00:00
45,my-windows-pc,2026-05-09 19:18:57.573349+05:30,0.7685,0.9491,0.8768,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:48:57.239999+00:00
46,my-windows-pc,2026-05-09 19:19:28.632706+05:30,0.7527,1,0.9011,HIGH,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:49:28.499494+00:00
47,my-windows-pc,2026-05-09 19:19:59.328052+05:30,0.2568,1,0.7027,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:49:59.219853+00:00
48,my-windows-pc,2026-05-09 19:20:29.905167+05:30,0.4389,1,0.7756,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:50:29.818687+00:00
49,my-windows-pc,2026-05-09 19:21:00.512903+05:30,0.1622,1,0.6649,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:51:00.406945+00:00
50,my-windows-pc,2026-05-09 19:21:31.429412+05:30,0.223,1,0.6892,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:51:31.290842+00:00
51,my-windows-pc,2026-05-09 19:22:02.066769+05:30,0.235,1,0.694,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:52:01.968018+00:00
52,my-windows-pc,2026-05-09 19:22:32.734046+05:30,0.2266,1,0.6906,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:52:32.647345+00:00
53,my-windows-pc,2026-05-09 19:23:03.369873+05:30,0.1699,1,0.668,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:53:03.249306+00:00
54,my-windows-pc,2026-05-09 19:23:33.997485+05:30,0.1598,1,0.6639,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:53:33.891194+00:00
55,my-windows-pc,2026-05-09 19:24:04.623346+05:30,0.254,1,0.7016,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:54:04.522568+00:00
56,my-windows-pc,2026-05-09 19:26:37.880685+05:30,0.7633,1,0.9053,HIGH,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:56:37.770408+00:00
57,my-windows-pc,2026-05-09 19:27:08.485378+05:30,0.2185,1,0.6874,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:57:08.378317+00:00
58,my-windows-pc,2026-05-09 19:27:39.008762+05:30,0.3323,1,0.7329,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:57:38.920251+00:00
59,my-windows-pc,2026-05-09 19:28:09.600856+05:30,0.1427,1,0.6571,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:58:09.508208+00:00
60,my-windows-pc,2026-05-09 19:28:40.222896+05:30,0.193,1,0.6772,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:58:40.120868+00:00
61,my-windows-pc,2026-05-09 19:29:10.830335+05:30,0.2166,1,0.6867,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:59:10.723993+00:00
62,my-windows-pc,2026-05-09 19:29:41.42071+05:30,0.3078,1,0.7231,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T13:59:41.321891+00:00
63,my-windows-pc,2026-05-09 19:30:12.02861+05:30,0.1946,1,0.6779,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:00:11.927777+00:00
64,my-windows-pc,2026-05-09 19:30:42.627391+05:30,0.204,1,0.6816,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:00:42.528898+00:00
65,my-windows-pc,2026-05-09 19:31:13.216171+05:30,0.204,1,0.6816,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:01:13.111714+00:00
66,my-windows-pc,2026-05-09 19:31:43.824965+05:30,0.2487,1,0.6995,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:01:43.727128+00:00
67,my-windows-pc,2026-05-09 19:32:14.421161+05:30,0.205,1,0.682,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:02:14.320504+00:00
68,my-windows-pc,2026-05-09 19:32:44.988695+05:30,0.2565,1,0.7026,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:02:44.902611+00:00
69,my-windows-pc,2026-05-09 19:33:15.588281+05:30,0.131,1,0.6524,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:03:15.498842+00:00
70,my-windows-pc,2026-05-09 19:33:46.192266+05:30,0.2279,1,0.6912,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:03:46.092954+00:00
71,my-windows-pc,2026-05-09 19:34:16.798315+05:30,0.2393,1,0.6957,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:04:16.697942+00:00
72,my-windows-pc,2026-05-09 19:34:47.397523+05:30,0.2516,1,0.7006,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:04:47.305329+00:00
73,my-windows-pc,2026-05-09 19:35:17.997248+05:30,0.1923,1,0.6769,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:05:17.903675+00:00
