metric_id,instance_id,timestamp,cpu_percent,mem_percent,disk_read_mb,disk_write_mb,net_recv_kb,net_sent_kb
55,my-windows-pc,2026-05-09 16:29:03.110472+05:30,45,90.7,0.7751,0.396,0.2196,0.3833
56,my-windows-pc,2026-05-09 16:29:33.223121+05:30,42.8,90.9,0.1541,0.5369,3.1798,1.4502
57,my-windows-pc,2026-05-09 16:30:03.338923+05:30,43.5,89.7,0.7883,0.0488,0.12,0.3083
58,my-windows-pc,2026-05-09 16:30:33.466735+05:30,42.9,89.9,0.1055,0.3753,0.2557,0.3902
59,my-windows-pc,2026-05-09 16:31:03.598557+05:30,38.3,88.3,1.0781,3.1925,0.031,0.0506
60,my-windows-pc,2026-05-09 16:31:34.069015+05:30,30.6,88,0.173,0.354,0.0917,0.1656
61,my-windows-pc,2026-05-09 16:32:04.903565+05:30,33.7,85.4,1.5748,1.0387,0.0465,0.0458
62,my-windows-pc,2026-05-09 16:32:35.026886+05:30,27.7,82.5,0.1448,2.055,0.2433,0.2594
63,my-windows-pc,2026-05-09 16:33:05.171882+05:30,27.6,80.7,0.1246,0.3819,0.4664,0.0524
64,my-windows-pc,2026-05-09 16:33:35.293532+05:30,26.6,80.3,0.1002,0.428,0.1247,0.4035
65,my-windows-pc,2026-05-09 16:34:05.423392+05:30,34,82.3,0.5152,0.8176,3.6976,0.6264
66,my-windows-pc,2026-05-09 16:34:35.5422+05:30,31.2,84,0.4158,0.3794,2.8045,0.3606
67,my-windows-pc,2026-05-09 16:35:05.797379+05:30,77.6,88.2,1.4811,0.701,14.1683,3.6734
68,my-windows-pc,2026-05-09 16:35:35.912482+05:30,73.1,88.2,0.1751,0.3805,0.3644,0.3578
69,my-windows-pc,2026-05-09 16:36:06.772631+05:30,64.4,92.5,1.4909,1.9336,3.4141,5.3717
70,my-windows-pc,2026-05-09 16:36:36.974802+05:30,69.3,87.9,2.0307,4.5356,6.5077,3.2873
71,my-windows-pc,2026-05-09 16:37:07.186931+05:30,46,82.3,1.5278,2.5903,1.0849,1.3371
72,my-windows-pc,2026-05-09 16:37:37.456048+05:30,43.4,83.9,0.4336,0.483,0.4114,0.4778
73,my-windows-pc,2026-05-09 16:38:07.578803+05:30,44.4,82.7,0.2965,2.9707,1.5534,0.2723
74,my-windows-pc,2026-05-09 16:38:37.693838+05:30,28.1,82.3,0.0702,0.369,0.3809,1.0031
75,my-windows-pc,2026-05-09 16:39:07.858915+05:30,28.2,82.8,0.2855,0.0369,0.0608,0.271
76,my-windows-pc,2026-05-09 16:39:38.141158+05:30,54.6,83.1,0.2334,1.0976,3.0089,0.9014
77,my-windows-pc,2026-05-09 16:40:08.27446+05:30,75.5,85.8,0.7574,0.2505,5.1583,0.7876
78,my-windows-pc,2026-05-09 16:40:38.441523+05:30,77.3,85.8,0.0688,0.3675,0.0892,0.3827
79,my-windows-pc,2026-05-09 16:41:08.585315+05:30,75.1,84,0.1009,0.4481,0.06,0.2774
80,my-windows-pc,2026-05-09 16:41:38.740291+05:30,75,84.6,0.3328,0.3588,0.1153,0.3932
81,my-windows-pc,2026-05-09 16:42:08.880755+05:30,47.9,81.3,0.2074,0.7525,0.7017,0.5728
82,my-windows-pc,2026-05-09 16:42:39.443772+05:30,24,81.2,0.0303,0.3698,0.0774,0.1552
83,my-windows-pc,2026-05-09 16:43:09.569265+05:30,22.5,80.5,0.0724,0.6998,0.6828,0.2675
84,my-windows-pc,2026-05-09 16:43:39.712653+05:30,45.5,81.6,0.7395,0.7085,0.7029,0.5929
85,my-windows-pc,2026-05-09 16:44:09.84416+05:30,30.9,80.8,0.1593,0.3965,0.2048,0.0944
86,my-windows-pc,2026-05-09 16:44:39.973328+05:30,27.7,80.7,0.0324,0.3559,2.5375,0.5976
87,my-windows-pc,2026-05-09 16:45:10.113394+05:30,25.8,81,0.036,0.4307,0.1617,0.056
88,my-windows-pc,2026-05-09 16:45:40.255613+05:30,29.2,81.1,0.0362,0.3633,0.383,0.2319
89,my-windows-pc,2026-05-09 16:46:10.374856+05:30,24.6,82.5,0.3256,0.3845,0.121,0.0915
90,my-windows-pc,2026-05-09 16:46:40.512744+05:30,27.2,81.9,0.1106,0.3607,0.1297,0.1743
91,my-windows-pc,2026-05-09 16:47:10.634842+05:30,29.5,79.1,0.5815,0.4883,0.3897,0.1641
92,my-windows-pc,2026-05-09 16:47:41.20302+05:30,37.5,84.7,4.1809,0.4348,31.9534,2.3849
93,my-windows-pc,2026-05-09 16:48:11.966407+05:30,72,87.5,2.4429,5.3138,31.0501,8.4721
94,my-windows-pc,2026-05-09 16:48:42.117003+05:30,87.8,82.9,2.0707,4.1369,16.0407,5.7381
95,my-windows-pc,2026-05-09 16:49:12.264224+05:30,72.4,84,1.7169,0.4729,7.0134,0.8016
96,my-windows-pc,2026-05-09 16:49:42.481934+05:30,72.7,85.4,0.2051,0.5301,8.2057,1.3437
97,my-windows-pc,2026-05-09 16:50:12.650319+05:30,80.4,84.8,1.3102,0.5073,1.3983,0.5977
98,my-windows-pc,2026-05-09 16:50:42.797121+05:30,75.2,85,0.3012,0.4632,1.0155,0.4007
99,my-windows-pc,2026-05-09 16:51:12.928266+05:30,66.9,82.5,0.216,0.3615,0.8356,0.4791
100,my-windows-pc,2026-05-09 16:51:43.162032+05:30,78.8,87.9,0.6651,2,2.1576,0.9256
101,my-windows-pc,2026-05-09 16:52:13.289667+05:30,80.6,79.2,0.1791,2.5393,4.8957,0.5532
102,my-windows-pc,2026-05-09 16:52:43.428757+05:30,75,77.6,0.1149,3.3499,0.0989,0.3915
103,my-windows-pc,2026-05-09 16:53:13.601078+05:30,75.4,74.8,0.1277,0.7098,0.7441,0.4771
104,my-windows-pc,2026-05-09 16:53:43.764365+05:30,78,75.9,3.8512,0.373,0.1425,0.407
105,my-windows-pc,2026-05-09 16:54:13.922752+05:30,73.7,75.6,0.3349,0.402,0.0794,0.3002
106,my-windows-pc,2026-05-09 16:54:44.079783+05:30,74.8,76,0.1254,0.4282,2.7857,0.3668
107,my-windows-pc,2026-05-09 16:55:14.213322+05:30,72.9,75.6,0.1205,0.3721,0.1964,0.3033
108,my-windows-pc,2026-05-09 16:55:44.332432+05:30,76.2,76.7,0.5123,0.4212,0.1082,0.1738
109,my-windows-pc,2026-05-09 16:56:14.466343+05:30,74.5,75.2,0.0712,0.4176,0.0617,0.0792
110,my-windows-pc,2026-05-09 16:56:44.926036+05:30,91.4,85.2,3.9665,2.4995,122.4457,35.192
111,my-windows-pc,2026-05-09 16:57:15.078884+05:30,65.5,82.1,2.3579,1.9777,86.5104,50.8956
112,my-windows-pc,2026-05-09 16:57:45.187645+05:30,37.5,83.1,0.6931,0.9393,25.279,31.8192
113,my-windows-pc,2026-05-09 16:58:15.331977+05:30,63.9,80.9,0.4329,2.4446,8.3529,15.5475
114,my-windows-pc,2026-05-09 16:58:45.463395+05:30,38.7,81.3,0.0729,0.7977,0.4219,2.9171
115,my-windows-pc,2026-05-09 16:59:15.579025+05:30,36.8,81.2,0.0989,0.3777,0.2398,0.7288
116,my-windows-pc,2026-05-09 16:59:45.716796+05:30,30.9,81.6,0.1055,0.0515,2.9478,0.8958
117,my-windows-pc,2026-05-09 17:00:15.943489+05:30,63.6,87.5,25.3701,0.445,0.3788,0.9746
118,my-windows-pc,2026-05-09 17:00:46.19333+05:30,54.9,84.5,1.0639,2.1166,5.783,9.269
119,my-windows-pc,2026-05-09 17:01:16.352428+05:30,60.2,86.3,0.3728,0.376,3.0919,5.1626
120,my-windows-pc,2026-05-09 17:01:46.513272+05:30,42.4,87.1,1.9273,1.0124,4.1046,2.7473
121,my-windows-pc,2026-05-09 17:02:16.651152+05:30,42.3,81.8,1.4356,2.6855,0.5718,0.5006
122,my-windows-pc,2026-05-09 17:02:46.77105+05:30,34.4,83.1,1.0645,0.7675,0.5419,1.6898
123,my-windows-pc,2026-05-09 17:03:16.915395+05:30,34.7,82.4,0.1544,0.4098,0.4946,0.1445
124,my-windows-pc,2026-05-09 17:03:47.25991+05:30,29.3,82.7,0.0783,0.7202,0.3015,0.6644
125,my-windows-pc,2026-05-09 17:04:17.398173+05:30,33.5,81.7,0.06,0.3719,0.1114,0.0924
126,my-windows-pc,2026-05-09 17:04:47.52998+05:30,30.9,81.1,0.1174,0.3835,3.1519,1.5525
127,my-windows-pc,2026-05-09 17:05:17.665127+05:30,28.4,81.6,0.5311,0.4328,0.0528,0.0715
128,my-windows-pc,2026-05-09 17:05:47.792903+05:30,36.2,82.9,0.1545,0.3775,0.3083,0.6802
129,my-windows-pc,2026-05-09 17:06:22.637025+05:30,33.6,81.9,0.5241,2.0552,0.2769,0.511
130,my-windows-pc,2026-05-09 17:06:52.776292+05:30,43.5,81.9,2.4023,1.3949,1.4774,0.9161
131,my-windows-pc,2026-05-09 17:07:22.917199+05:30,29.8,75.8,0.9217,2.51,0.6947,1.1935
132,my-windows-pc,2026-05-09 17:07:53.053483+05:30,33.9,76.3,0.0551,0.4002,0.1651,0.4279
133,my-windows-pc,2026-05-09 17:08:23.195738+05:30,30.4,76.3,0.1132,0.4639,1.4457,0.1893
134,my-windows-pc,2026-05-09 17:08:53.340521+05:30,35.7,75,3.6008,2.2846,0.1326,0.3921
135,my-windows-pc,2026-05-09 17:09:23.481776+05:30,26.9,75.3,0.7805,0.3705,0.2826,0.8753
136,my-windows-pc,2026-05-09 17:09:53.683933+05:30,31.4,76,0.0699,0.4221,2.8887,0.4373
137,my-windows-pc,2026-05-09 17:10:23.817368+05:30,25.7,75.6,0.1749,0.3818,0.1667,0.0615
138,my-windows-pc,2026-05-09 17:10:53.957716+05:30,36.5,79.3,14.0857,0.497,3.809,0.5586
139,my-windows-pc,2026-05-09 17:11:24.113155+05:30,32.2,77.1,0.0815,0.386,0.0624,0.2808
140,my-windows-pc,2026-05-09 17:11:54.251971+05:30,26.5,77.8,0.0549,0.3841,0.1785,0.472
141,my-windows-pc,2026-05-09 17:12:24.382441+05:30,31.5,75.9,0.0512,1.0985,0.0544,0.0571
142,my-windows-pc,2026-05-09 17:12:54.496166+05:30,25.9,76.4,0.0514,0.7053,0.088,0.1673
143,my-windows-pc,2026-05-09 17:13:24.625749+05:30,30.5,76,0.2286,0.3786,0.7086,0.5448
144,my-windows-pc,2026-05-09 17:13:54.740339+05:30,25.6,76.8,0.0767,0.3756,0.152,0.1969
145,my-windows-pc,2026-05-09 17:14:25.144496+05:30,27,75.8,0.0494,0.3682,0.076,0.0666
146,my-windows-pc,2026-05-09 17:14:55.289742+05:30,21.8,74.9,0.0658,0.3624,2.4375,0.3295
147,my-windows-pc,2026-05-09 17:15:25.415102+05:30,30.7,75,0.0809,0.3793,0.4313,0.2809
148,my-windows-pc,2026-05-09 17:15:55.548903+05:30,26.2,74.8,0.0357,0.372,0.4821,0.2052
